id_number,Title flag,movie_name,year, budget , domestic , international ,rating,storytype,source,production_method,genre,sequel,Release Date,Director,Director FB Like,Actor 1 Name,Actor 1 FB Like,Actor 2 Name,Actor 2 FB Like,Actor 3 Name,Actor 3 FB Like,Total Cast FB Like,Movie FB Like,IMDB Score,directors_avg_bo,actor_1_avg_bo,actor_2_avg_bo,actor_3_avg_bo
124320100,0,"I Love You, Phillip Morris",2010,13000000,2037459,20976568.00,R,Contemporary Fiction,Factual Book/Real Events,Live Action,Comedy,0, , , , , , , , , , , , , ,,,
105240100,0,Inception,2010,160000000,292576195,539825887.00,PG-13,Science Fiction,Original Screenplay,Animation/Live Action,Thriller/Suspense,0,2010-07-14,Christopher Nolan,22000,Leonardo DiCaprio,29000,Tom Hardy,27000,Joseph Gordon-Levitt,23000,81115,175000,8.8,738124317.4,327221779.8,341732726.4,281609433
138830100,1,Io sono l'amore,2010,10000000,5005465,10126746.00,R,Historical Fiction,Original Screenplay,Live Action,Drama,0, , , , , , , , , , , , , ,,,
117940100,0,Iron Man 2,2010,170000000,312433331,308723058.00,PG-13,Super Hero,Graphic Novel/Game,Live Action,Adventure,1,2010-04-28,Jon Favreau,4000,Robert Downey Jr.,21000,Scarlett Johansson,19000,Jon Favreau,4000,48638,18000,7,723409686.3,458103938.7,465751806.4,381710314.9
144750100,0,It's a Wonderful Afterlife,2010,10000000,,1642939.00,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,2010-05-07,Gurinder Chadha,98,Sendhil Ramamurthy,1000,Mark Addy,891,Shabana Azmi,95,2227,695,5.4,1642939,1642939,110910034,1642939
147040100,0,"Jeff, Who Lives at Home",2010,10000000,4269426,438701.00,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,2011-09-13,Jay Duplass,157,Judy Greer,2000,Evan Ross,616,Rae Dawn Chong,581,3374,0,6.5,4708127,349881203.1,4708127,4708127
109710100,0,Jonah Hex,2010,47000000,10547117,475579.00,PG-13,Historical Fiction,Graphic Novel/Game,Live Action,Action,0,2010-06-18,Jimmy Hayward,39,Michael Fassbender,13000,Billy Blair,541,Julia Jones,364,14619,0,4.7,60704884,179419263.9,11022696,11022696
143830100,0,Just Go With It,2010,80000000,103028109,111946844.00,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,2011-02-10,Dennis Dugan,221,Adam Sandler,11000,Bailee Madison,3000,Kevin Nealon,503,16325,19000,6.4,192119354.2,208444871.5,95969851.5,140138446.3
158680100,1,Kari gurashi no Arietti,2010,23000000,19192510,132303587.00,G,Kids Fiction,Fiction Book/Short Story,Animation,Adventure,0, , , , , , , , , , , , , ,,,
121460100,0,Kick-Ass,2010,28000000,48071303,49459831.00,R,Contemporary Fiction,Graphic Novel/Game,Live Action,Black Comedy,0,2010-03-22,Matthew Vaughn,905,Elizabeth McGovern,553,Deborah Twiss,488,Michael Rispoli,385,2357,36000,7.7,196653894.7,77144636,97531134,59656890.67
146890100,0,Kill the Irishman,2010,12000000,1188194,,R,Historical Fiction,Factual Book/Real Events,Live Action,Drama,0,2011-03-10, , , , , , , , , , , , ,,,
128670100,0,Knight and Day,2010,117000000,76423035,182328335.00,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Action,0,2010-06-15,James Mangold,446,Tom Cruise,10000,Marc Blucas,973,Jordi Mollà,877,12731,11000,6.3,248793349,257027791.1,154700088,89741950
158770100,0,Konferenz der Tiere,2010,30000000,,53048539.00,PG,Kids Fiction,Original Screenplay,Animation,Adventure,0, , , , , , , , , , , , , ,,,
145710100,0,Larry Crowne,2010,30000000,35608245,25840890.00,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,2011-06-30,Tom Hanks,15000,Tom Hanks,15000,Rob Riggle,839,Randall Park,392,16827,0,6.1,61449135,348690950.1,132640518.1,85202650.75
118350100,0,Legend of the Guardians: The Owls of Ga'Hoole,2010,100000000,55675313,84041404.00,PG,Kids Fiction,Fiction Book/Short Story,Animation,Adventure,0,2010-07-10,Zack Snyder,0,Abbie Cornish,2000,Richard Roxburgh,653,Anthony LaPaglia,577,4286,16000,7,389940635,98598757,122000235,139716717
125900100,0,Legion,2010,26000000,40168080,27479494.00,R,Fantasy,Original Screenplay,Live Action,Thriller/Suspense,0,2010-01-21,Scott Stewart,124,Dennis Quaid,2000,Kate Walsh,850,Charles S. Dutton,534,3889,0,5.2,75900800,91555622.5,50358438.5,38730441.5
134830100,0,Let Me In,2010,20000000,12134935,16135464.00,R,Fantasy,Remake,Live Action,Thriller/Suspense,0,2010-10-01,Matt Reeves,198,Chloë Grace Moretz,17000,Dylan Minnette,1000,Kodi Smit-McPhee,884,20258,25000,7.2,303405730.3,129462267.2,100192675,282344875.7
111850100,0,Letters to Juliet,2010,30000000,53032453,29116085.00,PG,Dramatization,Factual Book/Real Events,Live Action,Drama,0,2010-05-14,Gary Winick,56,Vanessa Redgrave,898,Marcia DeBonis,60,Luisa Ranieri,22,1026,13000,6.5,113761556.7,114007040.3,82148538,82148538
111080100,0,Life as We Know It,2010,38000000,53374681,52513156.00,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,2010-10-02, , , , , , , , , , , , ,,,
139510100,0,L'illusionniste,2010,17000000,2231474,6378475.00,PG,Historical Fiction,Original Screenplay,Animation,Adventure,0, , , , , , , , , , , , , ,,,
139010100,0,Limitless,2010,27000000,79249455,76315464.00,PG-13,Science Fiction,Fiction Book/Short Story,Live Action,Thriller/Suspense,0,2011-03-08,0,0,Colin Salmon,766,Mary Elizabeth Mastrantonio,638,Jake McDorman,535,2707,11000,7.9, ,82861226.5,155564919,155564919
105550100,0,Little Fockers,2010,100000000,148438600,162211974.00,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,1,2010-12-21,Paul Weitz,80,Robert De Niro,22000,Blythe Danner,713,Teri Polo,708,24082,0,5.5,96412292,87957310.63,150518179.3,310650574
111660100,0,Lottery Ticket,2010,17000000,24719879,,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,2010-08-20,Erik White,17,Brandon T. Jackson,918,Loretta Devine,912,Shad Moss,826,4797,0,4.9,24719879,124750783.3,57815642.6,24719879
134560100,0,Love and Other Drugs,2010,30000000,32367005,70349316.00,R,Dramatization,Factual Book/Real Events,Live Action,Drama,0, , , , , , , , , , , , , ,,,
110840100,0,MacGruber,2010,10000000,8525600,104295.00,R,Contemporary Fiction,TV,Live Action,Comedy,0,2010-05-21,Jorma Taccone,434,Jasper Cole,1000,Will Forte,622,Powers Boothe,472,2618,0,5.5,8629895,8629895,86426991,8629895
139790100,0,Machete,2010,12500000,26593646,19777324.00,R,Contemporary Fiction,Original Screenplay,Live Action,Action,0,2010-09-01,Ethan Maniquis,20,Robert De Niro,22000,Don Johnson,982,Cheech Marin,844,26233,44000,6.7,46370970,87957310.63,101957528.5,25151168.5
147590100,0,Machine Gun Preacher,2010,30000000,538690,3183298.00,R,Dramatization,Factual Book/Real Events,Live Action,Drama,0,2011-09-23,Marc Forster,395,Gerard Butler,18000,Madeline Carroll,1000,Kathy Baker,313,19620,21000,6.8,250936456.6,160012953.1,27914028.2,3721988
135920100,0,Mars Needs Moms,2010,150000000,21392758,18157000.00,PG,Science Fiction,Fiction Book/Short Story,Animation,Adventure,0,2011-03-09,Simon Wells,25,Elisabeth Harnois,921,Dan Fogler,562,Tom Everett Scott,433,2652,0,5.4,39549758,39549758,169721557.2,83756189.25
148150100,0,Megamind,2010,130000000,148415853,173471355.00,PG,Kids Fiction,Original Screenplay,Animation,Adventure,0,2010-10-28,Tom McGrath,96,J.K. Simmons,24000,Brad Pitt,11000,Will Ferrell,8000,46120,13000,7.3,321887208,195940359,187467695.6,153349415.7
142540100,0,Midnight in Paris,2010,30000000,56816662,105999737.00,PG-13,Fantasy,Original Screenplay,Live Action,Romantic Comedy,0,2011-05-11,Woody Allen,11000,Kurt Fuller,617,Audrey Fleurot,204,Nina Arianda,183,1289,78000,7.7,85652452.33,235071016,162816399,103542020
145230100,0,Moneyball,2010,50000000,75605492,35695343.00,PG-13,Dramatization,Factual Book/Real Events,Live Action,Drama,0,2011-09-22,Bennett Miller,152,Philip Seymour Hoffman,22000,Robin Wright,18000,Brad Pitt,11000,53094,27000,7.6,111300835,246318902.6,108803627.3,187467695.6
143930100,0,Monte Carlo,2010,20000000,23186769,16500000.00,PG,Contemporary Fiction,Fiction Book/Short Story,Live Action,Romantic Comedy,0,2011-07-01,Thomas Bezucha,15,Leighton Meester,3000,Luke Bracey,775,Brett Cullen,350,4257,6000,5.8,39686769,49407817.2,38522174,79287397
